id,name,description,media_url,image_name,latitude,longitude,category
72,Macpherson-Robertson Fountain,Memorial Fountain - Arts & History,,,-37.83237746,144.9729343,Public Memorials & Sculptures
73,Councillor William Cook Memorial Drinking Fountain,Memorial Drinking Fountain - Arts & History,,,-37.78528747,144.96619,Public Memorials & Sculptures
74,The Travellers,Sculpture - Arts & History,,,-37.82007938,144.9629605,Public Memorials & Sculptures
75,Beyond the Ocean of Existence,Sculpture - Arts & History,,,-37.81642363,144.9670615,Public Memorials & Sculptures
76,Pioneer Women's Memorial,Memorial Garden/Sculpture - Arts & History,,,-37.82511478,144.9760762,Public Memorials & Sculptures
77,Sir Samuel Gillott,Bust - Arts & History,,,-37.81372574,144.9726154,Public Memorials & Sculptures
78,Ceremony and Vehicle for Conveying Spirit,Sculpture - Arts & History,,,-37.81369576,144.968513,Public Memorials & Sculptures
79,Temple of the Winds,Rotunda - Arts & History,,,-37.81280965,144.9817359,Public Memorials & Sculptures
80,Sir Thomas Blamey Memorial,Memorial Sculpture - Arts & History,,,-37.8263011,144.9728189,Public Memorials & Sculptures
81,Boy on a Turtle,Statue - Arts & History,,,-37.81438929,144.9799102,Public Memorials & Sculptures
82,Personal Islands,Pavement Inlay - Arts & History,,,-37.81295407,144.9652649,Public Memorials & Sculptures
83,Sir William John Clarke,Monument - Arts & History,,,-37.81367295,144.9743449,Public Memorials & Sculptures
84,A History Apparatus - Vessel Craft & Beacon,Sculpture - Arts & History,,,-37.81304936,144.968211,Public Memorials & Sculptures
85,Stanford Fountain,Fountain - Arts & History,,,-37.81243425,144.9739555,Public Memorials & Sculptures
86,Children's Lake Waterfall,Memorial Waterfall - Arts & History,,,-37.82240515,144.9706435,Public Memorials & Sculptures
87,Diana and the Hounds,Sculpture - Arts & History,,,-37.81430678,144.9784994,Public Memorials & Sculptures
88,Victorian Rowing Association World War 1 Memorial,Memorial Cenotaph - Arts & History,,,-37.82175927,144.9747726,Public Memorials & Sculptures
89,Wind Contrivance,Sculpture - Arts & History,,,-37.80725189,144.9592306,Public Memorials & Sculptures
90,Widow and Children,Statue - Arts & History,,,-37.83028191,144.9743398,Public Memorials & Sculptures
91,Henderson Drinking Fountain,Memorial Drinking Fountain - Arts & History,,,-37.80334182,144.9497392,Public Memorials & Sculptures
92,Grant's Fountain,Memorial Fountain - Arts & History,,,-37.80747038,144.9685933,Public Memorials & Sculptures
93,Fairies Tree,Sculpture - Arts & History,,,-37.81340997,144.9811022,Public Memorials & Sculptures
94,Painted Poles,Sculpture - Arts & History,,,-37.81575629,144.9668104,Public Memorials & Sculptures
95,River God Fountain,Fountain - Arts & History,,,-37.81041672,144.9808824,Public Memorials & Sculptures
96,Port Philip Monument,Monument - Arts & History,,,-37.80569577,144.907291,Public Memorials & Sculptures
97,John Pascoe Fawkner Memorial,Sculpture - Arts & History,,,-37.81767706,144.9599953,Public Memorials & Sculptures
98,Mermaid and Fish,Sculpture - Arts & History,,,-37.813842,144.9827587,Public Memorials & Sculptures
99,Cow Up A Tree,Docklands Sculpture - Arts & History,,,-37.81712235,144.9452797,Public Memorials & Sculptures
100,Dr Louis Smith,Bust - Arts & History,,,-37.80474431,144.9724521,Public Memorials & Sculptures
101,Spray Lake,Fountain - Arts & History,,,-37.80580965,144.9725288,Public Memorials & Sculptures
102,Grey Street Fountain,Memorial Fountain - Arts & History,,,-37.8115435,144.9829509,Public Memorials & Sculptures
103,Sir John Monash,Memorial Sculpture - Arts & History,,,-37.82677334,144.9727521,Public Memorials & Sculptures
104,Bird Panels,Sculpture - Arts & History,,,-37.79535267,144.9406873,Public Memorials & Sculptures
105,Tianjin Garden Chinese Lion Guardians,Sculpture - Arts & History,,,-37.81125373,144.9693477,Public Memorials & Sculptures
106,Time and Tide,Sculpture - Arts & History,,,-37.81439838,144.9662509,Public Memorials & Sculptures
107,Passage,Sculpture - Arts & History,,,-37.80745243,144.9583067,Public Memorials & Sculptures
108,Elliot Drinking Fountain,Memorial Drinking Fountain - Arts & History,,,-37.78205004,144.9569667,Public Memorials & Sculptures
109,Farnex Hercules,Sculpture - Arts & History,,,-37.82110929,144.9696731,Public Memorials & Sculptures
110,The Dolphin Fountain,Sculpture - Arts & History,,,-37.81188844,144.9800158,Public Memorials & Sculptures
111,R.J. & F.G.J. Hardy Memorial Drinking Fountain (Also Know as Hardy Drinking Fountain),Memorial Drinking Fountain - Arts & History,,,-37.78559128,144.9693142,Public Memorials & Sculptures
112,The Court Favourite,Sculpture - Arts & History,,,-37.81026399,144.955039,Public Memorials & Sculptures
113,Pioneer Monument,Monument - Arts & History,,,-37.81080135,144.9539545,Public Memorials & Sculptures
114,The Pathfinder,Sculpture - Arts & History,,,-37.82202809,144.9703553,Public Memorials & Sculptures
115,Argyle Square Piazza,Unknown - Arts & History,,,-37.80244409,144.9658753,Public Memorials & Sculptures
116,Dinny O'Hern Fountain,Memorial Fountain - Arts & History,,,-37.79759911,144.9673065,Public Memorials & Sculptures
117,Silence,Sculpture - Arts & History,,,-37.81510709,144.9415465,Public Memorials & Sculptures
118,Miraggio [also known as Seated Figure],Sculpture - Arts & History,,,-37.82401351,144.9741516,Public Memorials & Sculptures
119,The Phoenix,Sculpture - Arts & History,,,-37.82215325,144.9709506,Public Memorials & Sculptures
120,John Mockridge Fountain,Fountain - Arts & History,,,-37.81552237,144.9669943,Public Memorials & Sculptures
121,Architectural Fragment,Sculpture - Arts & History,,,-37.80982754,144.9640461,Public Memorials & Sculptures
122,Captain Matthew Flinders Statue,Sculpture - Arts & History,,,-37.81696331,144.9674876,Public Memorials & Sculptures
123,Grotto Waterfall,Memorial Waterfall - Arts & History,,,-37.82563932,144.9767611,Public Memorials & Sculptures
124,Faultline,Sculpture - Arts & History,,,-37.82115251,144.9642381,Public Memorials & Sculptures
125,Aurora,Aurora Sculpture in Docklands - Arts & History,,,-37.81869383,144.9468563,Public Memorials & Sculptures
126,William Ievers (Snr) Memorial Drinking Fountain,Memorial Drinking Fountain - Arts & History,,,-37.80283419,144.9663856,Public Memorials & Sculptures
127,Adam Lindsay Gordon Memorial,Memorial Sculpture - Arts & History,,,-37.8123635,144.9737451,Public Memorials & Sculptures
128,Separation Memorial,Memorial Sculpture - Arts & History,,,-37.81069512,144.9536859,Public Memorials & Sculptures
129,Boy and Pelican,Sculpture - Arts & History,,,-37.81376752,144.9827718,Public Memorials & Sculptures
130,Bali Memorial,Fountain - Arts & History,,,-37.80248411,144.9632428,Public Memorials & Sculptures
131,Lie of the Land,Sculpture - Arts & History,,,-37.80376917,144.9721343,Public Memorials & Sculptures
132,King George V,Memorial Sculpture - Arts & History,,,-37.82427268,144.9732134,Public Memorials & Sculptures
133,Janet Lady Clarke Memorial Sculpture,Rotunda - Arts & History,,,-37.82233548,144.9718353,Public Memorials & Sculptures
134,King Edward VII Memorial,Sculpture - Arts & History,,,-37.8226718,144.9709882,Public Memorials & Sculptures
135,General Charles Gordon Memorial,Memorial Sculpture - Arts & History,,,-37.81272601,144.9739425,Public Memorials & Sculptures
136,Larry La Trobe,Sculpture - Arts & History,,,-37.81554854,144.9668921,Public Memorials & Sculptures
137,George Hawkins Ievers Memorial Drinking Fountain,Memorial Drinking Fountain - Arts & History,,,-37.79217291,144.9580902,Public Memorials & Sculptures
138,Statue of Meditation,Sculpture - Arts & History,,,-37.81395386,144.9785774,Public Memorials & Sculptures
139,Raising the Rattler Pole,Sculpture - Arts & History,,,-37.82090066,144.9546928,Public Memorials & Sculptures
140,Motorcyclist Harold Parsons Memorial,Memorial Sculpture - Arts & History,,,-37.81704008,144.9895811,Public Memorials & Sculptures
141,Brunton Drinking Fountain East,Memorial Drinking Fountain - Arts & History,,,-37.78930375,144.9721789,Public Memorials & Sculptures
142,Queen Victoria Memorial,Memorial Sculpture statue - Arts & History,,,-37.82184119,144.972479,Public Memorials & Sculptures
143,Lake Waterfall,Waterfall - Arts & History,,,-37.82208607,144.971811,Public Memorials & Sculptures
144,Blowhole,Sculpture - Arts & History,,,-37.82186286,144.9470094,Public Memorials & Sculptures
145,Edward George Honey Memorial,Sculpture - Arts & History,,,-37.82975546,144.9744198,Public Memorials & Sculptures
146,The Water Nymph,Sculpture - Arts & History,,,-37.8222098,144.9713354,Public Memorials & Sculptures
147,Peter Pan,Sculpture - Arts & History,,,-37.78477298,144.9523648,Public Memorials & Sculptures
148,Railway Viewing Platform,Sculpture - Arts & History,,,-37.80881693,144.9436883,Public Memorials & Sculptures
149,Dairy Hall Window,Window - Arts & History,,,-37.80720673,144.9592717,Public Memorials & Sculptures
150,Boy and Urn,Fountain - Arts & History,,,-37.8121218,144.9797032,Public Memorials & Sculptures
151,Birrarung Wilam [Common Ground],Sculpture - Arts & History,,,-37.81859572,144.9718217,Public Memorials & Sculptures
152,Another View Site 1,Sculpture - Arts & History,,,-37.81129434,144.973169,Public Memorials & Sculptures
153,Weathervanes,Sculpture - Arts & History,,,-37.81353704,144.9656409,Public Memorials & Sculptures
154,Duke & Duchess of York Memorial [also known as Temperence],Memorial Drinking Fountain - Arts & History,,,-37.80662922,144.9599089,Public Memorials & Sculptures
155,Reed Vessel,Sculpture - Arts & History,,,-37.82023233,144.9463251,Public Memorials & Sculptures
156,Exhibition Fountain,Fountain - Arts & History,,,-37.80545677,144.9713683,Public Memorials & Sculptures
157,Man with the Donkey,Sculpture - Arts & History,,,-37.82948203,144.9738585,Public Memorials & Sculptures
158,Conservatory Fountain,Memorial Drinking Fountain - Arts & History,,,-37.81387433,144.9785955,Public Memorials & Sculptures
159,Island Wave,Sculpture - Arts & History,,,-37.80932642,144.9580572,Public Memorials & Sculptures
160,Hotham Hill Pavement Inlay,Pavement Inlay - Arts & History,,,-37.79490479,144.9403835,Public Memorials & Sculptures
161,French Fountain,Fountain - Arts & History,,,-37.80490093,144.9728499,Public Memorials & Sculptures
162,Ecophene,Sculpture - Arts & History,,,-37.81980563,144.9632854,Public Memorials & Sculptures
163,The Echo,Sculpture - Arts & History,,,-37.81270568,144.9651539,Public Memorials & Sculptures
164,John Batman Memorial,Cairn - Arts & History,,,-37.80813551,144.9576459,Public Memorials & Sculptures
165,"Three Businessmen Who Brought Their Own Lunch: Batman, Swanston & Hoddle",Sculpture - Arts & History,,,-37.8136854,144.9655745,Public Memorials & Sculptures
166,Koorie Mural,Mural - Arts & History,,,-37.80699394,144.963054,Public Memorials & Sculptures
167,Walker Fountain,Fountain - Arts & History,,,-37.82354894,144.9708276,Public Memorials & Sculptures
168,Mary Gilbert Memorial,Bust - Arts & History,,,-37.81407568,144.9785603,Public Memorials & Sculptures
169,Westgarth Drinking Fountain,Memorial Drinking Fountain - Arts & History,,,-37.8050913,144.9734173,Public Memorials & Sculptures
170,Australian Hellenic Memorial,Memorial - Arts & History,,,-37.82721243,144.9729739,Public Memorials & Sculptures
171,Electric Supply Box D,Sculpture - Arts & History,,,-37.81352489,144.9659129,Public Memorials & Sculptures
172,Apollo Belvedere,Sculpture - Arts & History,,,-37.82105938,144.9697574,Public Memorials & Sculptures
173,Burke and Wills Monument,Sculpture - Arts & History,,,-37.8156337,144.966704,Public Memorials & Sculptures
174,Lynch's Bridge Mosaic Mural,Mural - Arts & History,,,-37.79020534,144.9239392,Public Memorials & Sculptures
175,Nurse Edith Cavell Memorial,Sculpture - Arts & History,,,-37.82798784,144.9736992,Public Memorials & Sculptures
176,Reynold's Reserve Drinking Fountain,Memorial Drinking Fountain - Arts & History,,,-37.78366119,144.960004,Public Memorials & Sculptures
177,Victoria Police Memorial,Memorial - Arts & History,,,-37.82424173,144.9709823,Public Memorials & Sculptures
178,The Genie,Sculpture - Arts & History,,,-37.8214877,144.9711947,Public Memorials & Sculptures
179,Boer War Monument,Memorial Sculpture - Arts & History,,,-37.83339206,144.9722467,Public Memorials & Sculptures
180,Resting Place,Seat - Arts & History,,,-37.81037211,144.9640765,Public Memorials & Sculptures
181,Georges Fountain,Fountain - Arts & History,,,-37.81476531,144.9683739,Public Memorials & Sculptures
182,Eight Hour Day Memorial,Monument - Arts & History,,,-37.80715499,144.9655884,Public Memorials & Sculptures
183,Eel Trap,Sculpture - Arts & History,,,-37.81912216,144.9740758,Public Memorials & Sculptures
184,John F. Kennedy Memorial,Memorial - Arts & History,,,-37.81365975,144.9763545,Public Memorials & Sculptures
185,City Living,Sculpture - Arts & History,,,-37.81147506,144.9531654,Public Memorials & Sculptures
186,Bandstand,Bandstand - Arts & History,,,-37.81182207,144.9826571,Public Memorials & Sculptures
187,Domed Drinking Fountain,Memorial Drinking Fountain - Arts & History,,,-37.82124039,144.9707695,Public Memorials & Sculptures
188,Fruition,Fruition - Arts & History,,,-37.78958485,144.9430068,Public Memorials & Sculptures
189,Samuel Mauger Drinking Fountain,Memorial Drinking Fountain - Arts & History,,,-37.80824896,144.9753153,Public Memorials & Sculptures
190,Painted Poles,Sculpture - Arts & History,,,-37.81009689,144.9641651,Public Memorials & Sculptures
191,Sir William Brunton Drinking Fountain,Memorial Drinking Fountain - Arts & History,,,-37.78930375,144.9721789,Public Memorials & Sculptures
192,Waterfall Fountain,Memorial Waterfall - Arts & History,,,-37.81371709,144.9801407,Public Memorials & Sculptures
193,Another View Site 8,Sculpture - Arts & History,,,-37.81941336,144.9601987,Public Memorials & Sculptures
194,Coat of Arms,Pavement Inlay - Arts & History,,,-37.81510417,144.9664693,Public Memorials & Sculptures
195,The Public Purse,Seat - Arts & History,,,-37.81409769,144.9634008,Public Memorials & Sculptures
196,Constellation,Sculpture - Arts & History,,,-37.82024606,144.9606625,Public Memorials & Sculptures
197,Clayton Reserve Drinking Fountain,Memorial Drinking Fountain - Arts & History,,,-37.79566355,144.9389348,Public Memorials & Sculptures
198,Horse Hitching Post,Hitching Post - Arts & History,,,-37.81502994,144.9749315,Public Memorials & Sculptures
199,Within Three Worlds,Sculpture - Arts & History,,,-37.77886822,144.9611152,Public Memorials & Sculptures
200,Robert Burns Memorial,Sculpture - Arts & History,,,-37.81437358,144.97472,Public Memorials & Sculptures
201,Water Children,Sculpture - Arts & History,,,-37.82212412,144.970662,Public Memorials & Sculptures
202,Brunton Drinking Fountain West,Memorial Drinking Fountain - Arts & History,,,-37.8184091,144.9788554,Public Memorials & Sculptures
203,Another View Site 17,Sculpture - Arts & History,,,-37.81480509,144.968381,Public Memorials & Sculptures
204,Vault,Sculpture - Arts & History,,,-37.82607139,144.9677327,Public Memorials & Sculptures
205,Thomas Ferguson Memorial Drinking Fountain,Memorial Drinking Fountain - Arts & History,,,-37.80153948,144.9602272,Public Memorials & Sculptures
206,Scar: A Stolen Vision,Indigenous - Arts & History,,,-37.82010166,144.9594544,Public Memorials & Sculptures
207,Captain Cook,Sculpture - Arts & History,,,-37.81457925,144.9794944,Public Memorials & Sculptures
208,Hotham Hill Seat,Sculpture - Arts & History,,,-37.79493522,144.9403408,Public Memorials & Sculptures
209,Sundial,Sundial - Arts & History,,,-37.81031621,144.9549375,Public Memorials & Sculptures
210,Signature Work,Sculpture - Arts & History,,,-37.81924314,144.9472468,Public Memorials & Sculptures
211,People's Path,Bricks / Tiles - Arts & History,,,-37.81102351,144.9783892,Public Memorials & Sculptures
212,John Batman Memorial [2],Sculpture - Arts & History,,,-37.81765978,144.959773,Public Memorials & Sculptures
213,James C Roberts Memorial,Memorial Sculpture - Arts & History,,,-37.78913816,144.9570538,Public Memorials & Sculptures
214,Marquis of Linlithgow,Statue - Arts & History,,,-37.82666406,144.9719166,Public Memorials & Sculptures
215,Commonwealth Games Aquatic Sculptures - Eels,Sculpture - Arts & History,,,-37.79662908,144.9243067,Public Memorials & Sculptures
216,Australia Today and Tomorrow,Sculpture - Arts & History,,,-37.81405489,144.9673387,Public Memorials & Sculptures
217,Stapley Memorial Drinking Fountain,Memorial Drinking Fountain - Arts & History,,,-37.81891098,144.9730212,Public Memorials & Sculptures
218,Tilly Aston Bell,Memorial Sculpture - Arts & History,,,-37.82537174,144.9759002,Public Memorials & Sculptures
219,Model Tudor Village,Model - Arts & History,,,-37.81325721,144.9810123,Public Memorials & Sculptures
220,Aboriginal Scarred Tree - Fitzroy Gardens,Scarred Tree - Scarred tree of uncertain species first recorded in 1968. In 1993 the tree was recorded as dead but standing.,,,-37.81470006,144.9808109,Indigenous Heritage
221,Aboriginal Scarred Tree - Melbourne Zoo,"Scarred Tree - A red gum located immediately within the fence of the zoo, to the north east of the Admin Building at the main gate.",,,-37.78178984,144.9519932,Indigenous Heritage
222,Aboriginal Scarred Tree - Yarra Park 2,Scarred Tree - Scarred tree which was recorded as dead and lopped in 2007.,,,-37.82090829,144.9854779,Indigenous Heritage
223,Aboriginal Scarred Tree - Yarra Park 1,Scarred Tree - Scarred red gum with toe holds recorded as alive but suffering from rot and possum damage in 2007.,,,-37.8215312,144.9866206,Indigenous Heritage
224,Aboriginal Scarred Tree - Yarra Park 3,"Scarred Tree - Scarred red gum located approximately equidistant between Punt Road and the MCG, in line with Rowena Parade.",,,-37.82123034,144.9862021,Indigenous Heritage
225,Aboriginal Scarred Tree,Scarred Tree - Red gum on Princes Park Drive.,,,-37.78816617,144.9629045,Indigenous Heritage
226,Exhibition Gardens Meeting Place,"Meeting Place - From the 1920s to 1940s, the Moreton Bay Fig Tree (Ficus macrophylla) in Carlton Gardens provided one of the most important places for social or political meetings for the emerging Aboriginal community.",,,-37.8063001,144.9712944,Indigenous Heritage
227,Kings Domain Resting Place,"Re-burial site; Memorial - Five 'art poles' have been erected in memoriam of the unprovenced remains of 38 Aboriginal people 'from Victoria', which were repatriated from the Museum of Victoria in 1985.",,,-37.82265836,144.9726355,Indigenous Heritage
228,Melbourne Cricket Ground,Camping site - An Aboriginal camping site is recorded in the mid 19th century on land now occupied by the Melbourne and Richmond Cricket Clubs.,,,-37.8185988,144.9822807,Indigenous Heritage
229,Baldwin Spencer Building,Building - The Baldwin Spencer Building at the University if Melbourne was opened in 1888 following designs submitted by the first Professor of Biology Walter Baldwin Spencer; who took on the position of special commisioner and Chief Protector of Aborigines.,,,-37.7964972,144.9619484,Indigenous Heritage
230,Derrimut's Grave,"Grave - Grave and memorial stone erected by some of the early colonists to commemorate Derrimut, head of the Yalukit willam clan of the Bonn Wurrung.",,,-37.728205,144.855187,Indigenous Heritage
231,"Former cemetery site, Queen Victoria Market","Cemetery - The market was built in 1875 on land which was part of the Old Melbourne Cemetery, part of which was used for the burial of Aboriginal people, including Tunnerminnerwait and Maulboyheenner, the first people to be executed in Melbourne.",,,-37.80786828,144.9567622,Indigenous Heritage
232,Victorian Parliament Building,"Building - In 1874, when the Coranderrk Aboriginal reserve came under threat of closure, William Barak launched a political campaign, to keep the mission open which culminated in a walk to Parliament House.",,,-37.811047,144.973821,Indigenous Heritage
233,Parliament Hill (approximate location),"Corroboree Location - Parliament Hill, which was a traditional Kulin meeting place and favoured for inter-clan gatherings and ceremonial purposes.",,,-37.81123763,144.9859446,Indigenous Heritage
234,Site of Yarra Mission,"Mission Site - A mission school comprising three houses and a number of huts, which is known to have been attended by William Barak, was established in 1837 but closed in March 1839.",,,-37.83115814,144.9831605,Indigenous Heritage
235,Royal Botanic Gardens,"Cultural Tour - An Aboriginal Heritage Walk is currently run by Indigenous Guides through the gardens, part of which comprise the site of the former Yarra Mission.",,,-37.830369,144.979606,Indigenous Heritage
236,Koorie Heritage Trust,"Collection; Building - The Koorie Heritage Trust Inc is a not-for-profit Aboriginal community organisation that aims to protect, preserve and promote the living culture of Aboriginal people of south-eastern Australia.",,,-37.8133469,144.9543025,Indigenous Heritage
237,William Street Falls,"Remnant Geography - Before they were dynamited to make the upper Yarra navigable, the falls provided a meeting point of great importance to clans in the area where they met at least twice a year to settle grievances and for other matters.",,,-37.81993789,144.9602008,Indigenous Heritage
238,Government House Battle Site,"Battle Site Memorial - The hill on which Government House stands was a known meeting place for Aboriginal clans, at which a battle (during which no lives were lost) was witnessed by the Hon. Fred Belcher in 1839.",,,-37.82776851,144.9768949,Indigenous Heritage
239,Former Barracks of the Native Police in Yarra Park,Native Police Barracks - The Native police stayed in these barracks when absent from their station on the Dandenong flats.,,,-37.81691219,144.9900913,Indigenous Heritage
240,Flagstaff Gardens,"Burial Memorial - A pioneer memorial erected on the hill marks the site of early inhabitant's graves, including those of the first settlers killed in conflict with Aboriginal people.",,,-37.809674,144.954718,Indigenous Heritage
241,Old Melbourne Gaol and Gallows Hill,Execution Site Memorial - Maulboyheenner and Tunnerminnerwaitl were publically hung for the murder of two whalers on 20th January 1842 and are believed to be the first people executed in Victoria.,,,-37.8078598,144.9652487,Indigenous Heritage
242,Collins Street Gaol (approximate site),Gaol - A mass arrest and gaoling of Aboriginal people took place at this site in 1840.,,,-37.818319,144.95621,Indigenous Heritage
243,Fawkner Park,Camping site - Fawkner Park was a favourite Aboriginal camping ground in the mid 1800s.,,,-37.8387927,144.9842227,Indigenous Heritage
244,Melbourne City Town Hall,"Building - Aboriginal people have increasingly used this building over the years, including for political meetings and celebrations.",,,-37.81505,144.966711,Indigenous Heritage
245,Emerald Hill,Corroboree Location - A corroboree and initiation site frequented by the Aboriginal people.,,,-37.82777699,144.97123,Indigenous Heritage
246,North Melbourne Town Hall,"Building - Important meetings took place here in March 1997, when discussions took place about Indigenous sovereignty and the right to practise Customary Law in Australia.",,,-37.803295,144.949805,Indigenous Heritage
247,Site of Queen's Theatre,Site of Building - Six Kulin men performed corroborees for a week in 1856 to entertain the gold diggers.,,,-37.8139684,144.9602915,Indigenous Heritage
248,Princes Bridge near South Bank of the Yarra,"Building - Bill Bull, Gum Leaf Player, busked here before being moved on by the police or gaoled.",,,-37.8193123,144.9683058,Indigenous Heritage
