id,latitude,longitude
5,-37.8115435,144.9829509
3,-37.82677334,144.9727521
33,-37.79535267,144.9406873
29,-37.81125373,144.9693477
6,-37.81439838,144.9662509
38,-37.80745243,144.9583067
2,-37.78205004,144.9569667
22,-37.82110929,144.9696731
33,-37.81188844,144.9800158
18,-37.78559128,144.9693142
5,-37.81026399,144.955039
31,-37.81080135,144.9539545
28,-37.82202809,144.9703553
6,-37.80244409,144.9658753
5,-37.79759911,144.9673065
29,-37.81510709,144.9415465
35,-37.82401351,144.9741516
16,-37.82215325,144.9709506
16,-37.81552237,144.9669943
4,-37.80982754,144.9640461
14,-37.81696331,144.9674876
7,-37.82563932,144.9767611
38,-37.82115251,144.9642381
25,-37.81869383,144.9468563
8,-37.80283419,144.9663856
18,-37.8123635,144.9737451
36,-37.81069512,144.9536859
22,-37.81376752,144.9827718
26,-37.80248411,144.9632428
29,-37.80376917,144.9721343
38,-37.82427268,144.9732134
5,-37.82233548,144.9718353
12,-37.8226718,144.9709882
3,-37.81272601,144.9739425
4,-37.81554854,144.9668921
31,-37.79217291,144.9580902
30,-37.81395386,144.9785774
36,-37.82090066,144.9546928
26,-37.81704008,144.9895811
11,-37.78930375,144.9721789
6,-37.82184119,144.972479
15,-37.82208607,144.971811
39,-37.82186286,144.9470094
33,-37.82975546,144.9744198
35,-37.8222098,144.9713354
39,-37.78477298,144.9523648
13,-37.80881693,144.9436883
2,-37.80720673,144.9592717
12,-37.8121218,144.9797032
20,-37.81859572,144.9718217
19,-37.81129434,144.973169
28,-37.81353704,144.9656409
26,-37.80662922,144.9599089
1,-37.82023233,144.9463251
27,-37.80545677,144.9713683
8,-37.82948203,144.9738585
33,-37.81387433,144.9785955
21,-37.80932642,144.9580572
36,-37.79490479,144.9403835
4,-37.80490093,144.9728499
14,-37.81980563,144.9632854
32,-37.81270568,144.9651539
29,-37.80813551,144.9576459
38,-37.8136854,144.9655745
24,-37.80699394,144.963054
27,-37.82354894,144.9708276
21,-37.81407568,144.9785603
27,-37.8050913,144.9734173
22,-37.82721243,144.9729739
16,-37.81352489,144.9659129
26,-37.82105938,144.9697574
4,-37.8156337,144.966704
9,-37.79020534,144.9239392
9,-37.82798784,144.9736992
25,-37.78366119,144.960004
21,-37.82424173,144.9709823
39,-37.8214877,144.9711947
5,-37.83339206,144.9722467
38,-37.81037211,144.9640765
26,-37.81476531,144.9683739
38,-37.80715499,144.9655884
27,-37.81912216,144.9740758
15,-37.81365975,144.9763545
10,-37.81147506,144.9531654
1,-37.81182207,144.9826571
37,-37.82124039,144.9707695
8,-37.78958485,144.9430068
36,-37.80824896,144.9753153
17,-37.81009689,144.9641651
7,-37.78930375,144.9721789
21,-37.81371709,144.9801407
3,-37.81941336,144.9601987
13,-37.81510417,144.9664693
20,-37.81409769,144.9634008
8,-37.82024606,144.9606625
35,-37.79566355,144.9389348
18,-37.81502994,144.9749315
5,-37.77886822,144.9611152
12,-37.81437358,144.97472
4,-37.82212412,144.970662
8,-37.8184091,144.9788554
19,-37.81480509,144.968381
32,-37.82607139,144.9677327
34,-37.80153948,144.9602272
2,-37.82010166,144.9594544
3,-37.81457925,144.9794944
16,-37.79493522,144.9403408
27,-37.81031621,144.9549375
16,-37.81924314,144.9472468
5,-37.81102351,144.9783892
14,-37.81765978,144.959773
18,-37.78913816,144.9570538
38,-37.82666406,144.9719166
22,-37.79662908,144.9243067
7,-37.81405489,144.9673387
11,-37.81891098,144.9730212
9,-37.82537174,144.9759002
15,-37.81325721,144.9810123
14,-37.81470006,144.9808109
22,-37.78178984,144.9519932
16,-37.82090829,144.9854779
3,-37.8215312,144.9866206
12,-37.82123034,144.9862021
33,-37.78816617,144.9629045
1,-37.8063001,144.9712944
6,-37.82265836,144.9726355
24,-37.8185988,144.9822807
27,-37.7964972,144.9619484
21,-37.728205,144.855187
4,-37.80786828,144.9567622
38,-37.811047,144.973821
33,-37.81123763,144.9859446
24,-37.83115814,144.9831605
35,-37.830369,144.979606
17,-37.8133469,144.9543025
5,-37.81993789,144.9602008
19,-37.82776851,144.9768949
35,-37.81691219,144.9900913
21,-37.809674,144.954718
34,-37.8078598,144.9652487
29,-37.818319,144.95621
38,-37.8387927,144.9842227
29,-37.81505,144.966711
19,-37.82777699,144.97123
1,-37.803295,144.949805
16,-37.8139684,144.9602915
28,-37.8193123,144.9683058
13,-37.822131,144.988205
22,-37.8199506,144.9684459
16,-37.8177099,144.9558783
3,-37.78894622,144.9587846
26,-37.781061,144.95221
30,-37.78865794,144.9653506
19,-37.78981952,144.965415
3,-37.814767,144.967763
23,-37.8154475,144.9696754
17,-37.8161129,144.9527433
35,-37.8177249,144.9590814
26,-37.81888696,144.9675608
9,-37.81932767,144.9756825
9,-37.82015,144.959471
31,-37.821889,144.956537
13,-37.82292956,144.964149
37,-37.82178545,144.985714
25,-37.82785326,144.9773347
28,-37.83125983,144.984169
7,-37.80969,144.973058
39,-37.813088,144.965026
2,-37.817979,144.969058
13,-37.82015,144.959471
15,-37.820201,144.962829
13,-37.817979,144.969058
34,-37.8212777,144.9463315
22,-37.8233525,144.9472794
21,-37.820201,144.962829
3,-37.803646,144.972942
21,-37.80776441,144.9654639
1,-37.82425743,144.9534781
38,-37.82660454,144.9672529
35,-37.82199473,144.9688373
36,-37.81748314,144.969899
8,-37.81886627,144.9839701
17,-37.82137443,144.9484967
10,-37.80355181,144.9716907
32,-37.81895449,144.9846698
2,-37.81454075,144.980555
3,-37.82221828,144.95404
11,-37.81917988,144.9604268
32,-37.80857613,144.9753737
28,-37.79739396,144.9641567
11,-37.81338543,144.9540279
20,-37.81446049,144.9794713
39,-37.80460262,144.9715219
13,-37.81761073,144.9690704
6,-37.81076861,144.9692339
18,-37.82524551,144.9543524
9,-37.82490405,144.9522883
1,-37.81651773,144.943475
23,-37.80973741,144.9813834
11,-37.82218182,144.9489085
24,-37.80209538,144.9694063
19,-37.79590798,144.9701473
33,-37.7925235,144.9271087
32,-37.79867372,144.9510658
33,-37.84852018,144.9822278
29,-37.83153645,144.9850894
12,-37.8342561,144.976285
35,-37.79731362,144.9560344
13,-37.82411377,144.9693325
31,-37.79787433,144.9537803
30,-37.79828923,144.9609952
19,-37.80807954,144.964453
3,-37.80998522,144.9643303
19,-37.81414942,144.957894
3,-37.81507548,144.9665427
26,-37.82334716,144.9746862
10,-37.82393038,144.9682974
29,-37.82397337,144.967451
11,-37.82383279,144.9676827
7,-37.8230135,144.9693425
12,-37.830208,144.9734419
16,-37.81239617,144.9558238
36,-37.81400213,144.9785597
29,-37.81250776,144.9582989
17,-37.81320116,144.9577342
5,-37.81395251,144.9644259
35,-37.81773524,144.9679371
37,-37.82320524,144.947291
28,-37.81529255,144.9422837
28,-37.78816459,144.9392778
27,-37.81816331,144.9529447
6,-37.81223565,144.9563182
16,-37.81160618,144.9730173
25,-37.82389927,144.9894008
19,-37.81656518,144.983641
3,-37.794964,144.9361908
2,-37.79391401,144.9307102
16,-37.79972705,144.9258377
4,-37.78126843,144.9516678
18,-37.81215728,144.973742
10,-37.81276211,144.9734338
3,-37.80957622,144.9723301
20,-37.81163844,144.9561187
3,-37.80977593,144.9626701
23,-37.81059924,144.9616906
20,-37.810893,144.9631007
1,-37.78691058,144.9081907
25,-37.78346512,144.9149026
2,-37.78727262,144.92906
33,-37.8179063,144.9670648
38,-37.8100167,144.9637893
9,-37.80738236,144.9424298
7,-37.81373844,144.9175343
30,-37.82218182,144.9489085
18,-37.80209538,144.9694063
1,-37.79590798,144.9701473
21,-37.7925235,144.9271087
24,-37.79867372,144.9510658
25,-37.84852018,144.9822278
25,-37.83153645,144.9850894
4,-37.8342561,144.976285
34,-37.79731362,144.9560344
29,-37.82411377,144.9693325
13,-37.79787433,144.9537803
33,-37.79828923,144.9609952
16,-37.80807954,144.964453
29,-37.803646,144.972942
17,-37.802422,144.961498
26,-37.819021,144.984052
1,-37.823328,144.974673
14,-37.80984329,144.9652004
6,-37.803638,145.005069
32,-37.82348254,144.974674
21,-37.8219719,144.9707365
21,-37.83090392,144.9713802
12,-37.85569,145.164062
28,-37.806034,144.978888
17,-37.7061714,145.0986198
27,-37.787984,144.890538
33,-37.817378,144.96866
2,-37.844628,144.951305
20,-37.81808392,144.9690977
34,-37.822262,145.032331
39,-37.81594598,144.9668205
34,-37.8165452,144.9691634
28,-37.81663674,144.9692318
32,-37.817462,144.969567
23,-37.82292108,144.9575937
8,-37.8035324,144.9727381
23,-37.8046864,144.9716488
3,-37.820732,144.968937
6,-37.81802671,144.968757
30,-37.81766227,144.9673247
38,-37.80543123,144.9632156
10,-37.80134953,144.9802423
14,-37.8114397,144.9722886
19,-37.81022154,144.9648102
14,-37.798758,144.955899
13,-37.78524305,144.9521032
6,-37.821937,144.9532
24,-37.82375,144.967102
3,-37.82172189,144.9785069
36,-37.81322526,144.9741
16,-37.81735716,144.9697495
15,-37.81783602,144.9685103
31,-37.8218024,144.9808002
27,-37.8127167,144.9814653
15,-37.8236711,144.9662814
6,-37.81707323,144.9677378
31,-37.82400373,144.9572986
21,-37.80478275,144.9720562
19,-37.827046,144.966925
22,-37.822574,144.952315
