id,display_name,scientific_name,status,category,media_url,image_name,bio
17,"Lumholtz's Tree-kangaroo","Dendrolagus lumholtzi","Least Concern","mammal","","","Lumholtz's tree-kangaroo lives in small, loose-knit groups of three to five, consisting of a male and female mates. Each kangaroo maintains a "home range" and will be hostile towards a member of the same gender that enters it. It is named after the Norwegian explorer Carl Sofus Lumholtz."
18,"Eastern Grey Kangaroo","Macropus giganteus","Least Concern","mammal","","","Eastern Grey Kangaroos feed mainly on grasses and herbs, but sometimes eat leaves from trees and shrubs. They are active mostly from dusk to dawn, often in large groups (mobs)."
19,"Australian Magpie","Cracticus tibicen","Least Concern","bird","","","Magpies are well known for their carolling calls at dawn and dusk. Males defend their territory, especially when breeding."
20,"Major Mitchell's Cockatoo","Lophochroa leadbeateri","Vulnerable","bird","","","They occur in pairs or small flocks and occasionally in many hundreds when food is abundant. They feed mostly on seeds on the ground or in the foliage of shrubs and trees but will also gouge insect larvae (grubs) out of branches. Named after one of Australia's early explorers."
21,"Tawny Frogmouth","Podargus strigoides","Least Concern","bird","","","Tawny Frogmouths rest on tree branches during the day, using their colour pattern to look like part of the branch."
22,"Little Penguin","Eudyptula minor","Least Concern","bird","","","Little Penguins are the smallest of the world's penguins. They make nests in crevices between rocks or burrows in the sand dunes."
23,"Little Raven","Corvus mellori","Least Concern","bird","","","Attracted to agricultural or grazing lands, or places of abundant food, such as rubbish tips and bins. Also attracted to roadkill, which puts them at risk of becoming roadkill themselves."
24,"Galah","Eolophus roseicapillus","Least Concern","bird","","","Galahs often flock in large numbers in farmland areas where food is abundant. They eat seeds."
25,"New Holland Honeyeater","Phylidonyris novaehollandiae","Least Concern","bird","","","New Holland Honeyeaters feed on nectar, insects and honeydew. They may breed at different times of year in different parts of Australia."
26,"Rainbow Lorikeet","Trichoglossus haematodus","Least Concern","bird","","","Rainbow Lorikeets usually occur in pairs. Both males and females feed the young, but only the females incubate the eggs. In Australia they feed primarily on nectar from the eucalyptus."
27,"Carnaby’s Black Cockatoo","Calyptorhynchus latirostris","Endangered","bird","","","Breeding from early July to December. Nesting in hollows of old eucalypts. Only the female incubates and broods the chick. Migrates south and west after breeding. Call a “weeyou-weeyou” or longer “weeeloo-weeeloo”."
28,"Red Wattlebird","Anthochaera carunculata","Least Concern","bird","","","Male Red Wattlebirds call with a loud cackle, like a cough. Females respond with a whistle."
29,"Wedge-tailed Eagle","Aquila audax","Least Concern","bird","","","Wedge-tailed Eagles are Australia's largest eagle. They can travel long distances and often circle in thermal air currents. They feed on live prey or dead carcases (carrion)."
30,"Sulphur-crested Cockatoo","Cacatua galerita","Least Concern","bird","","","Sulphur-crested Cockatoos breed in hollows in old growth trees. They make loud, harsh calls that can be heard from a distance. They eat fruits and seeds."
31,"Superb Fairy-wren","Malurus cyaneus","Least Concern","bird","","","Superb Fairy-wrens form family groups that co-operate to raise young in a single nest. They mainly eat insects, but also some seeds and fruit, and forage in groups."
32,"Australian pelican","Pelecanus conspicillatus","Least Concern","bird","","","Australia's only species of pelican. They occasionally form small flocks and help one another to feed by surrounding fish and herding them together."
33,"Southern Cassowary","Casuarius casuarius","Endangered","bird","","","It forages on the forest floor for fallen fruit and is capable of safely digesting some fruits toxic to other animals. They also eat fungi, and some insects and small vertebrates. The southern cassowary is a solitary bird, that pairs only in breeding season."
34,"Willie Wagtail","Rhipidura leucophrys","Least Concern","bird","","","Willie Wagtails are usually found singly or in pairs. They feed on insects, usually catching them in flight, and sometimes eat small lizards. They are highly territorial and call repeatedly at night when breeding to advertise their territory."
35,"Kookaburra","Dacelo novaeguineae","Least Concern","bird","","","Laughing Kookaburras hunt by perching on branches and swooping onto their prey below. Small animals, such as insects and worms, are eaten whole. Larger prey, such as small snakes and mammals, may be bashed against tree branches and other hard objects before being eaten. Laughing Kookaburras form breeding pairs for life."
36,"Emu","Dromaius novaehollandiae","Vulnerable","bird","","","Emus walk steadily with a precise gait, and run swiftly. They are seen most often in pairs, families or loose flocks up to dozens. Male Emus build flat nests on the ground and incubate the eggs without eating, drinking, defecating or leaving the nest for around 55 days."
37,"Noisy Miner","Manorina melanocephala","Least Concern","bird","","","Noisy Miners assist each other to raise their young and often form large groups. They actively defend their territories from intruders and aggressively exclude smaller birds. They eat mainly insects and nectar but occasionally feed on small lizards and amphibians."
38,"Australian King-parrot","Alisterus scapularis","Least Concern","bird","","","Australian King-parrots usually form pairs or small flocks. They feed on eucalypt and acacia seeds."
39,"Gang-gang Cockatoo","Callocephalon fimbriatum","Vulnerable","bird","","","Gang-gang Cockatoos pair for life. They nest in deep hollows in trees and pairs will usually return to the same tree every year."
