id,display_name,scientific_name,status,category,media_url,image_name,bio
11,Quokka,Setonix brachyurus,Vulnerable,mammal,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=d66c8012-80f0-4008-9d75-5a51fb77ce50,,"Quokkas are secretive and rare on the Mainland of south-west WA and their population and distribution has suffered serious declines since European settlement in WA. On Rottnest and Bald Island their populations are large and healthy. Mostly nocturnal, though they can be seen during the day on Rottnest Island. Browses and grazes on a variety of plant matter."
12,Dugong,Dugong dugon,Endangered,mammal,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=52c7bd02-5188-4081-919d-33376b16a925,,May occur in herds when feeding. Long lived (up to 70 years) and does not breed until at least 6 years old. Males fight each other to mate with females and breeding only occurs every few years (can be an interval up to 7 years).
13,Mahogany Glider,Petaurus gracilis,Endangered,mammal,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=39e5a1e9-c0d1-414e-850a-d59affa24211,,"Relatively new to science, very little is known about the natural ecology and behaviour of the mahogany glider. These nocturnal animals are arboreal and can glide between the treetops for distances of up to 60 m by stretching out their membrane. Individuals are mainly solitary, spending the day asleep in tree hollows and the nights foraging within their home range, which may be up to 23 hectares in size. These gliders feed on exudates such as the sap and gum of eucalypt and acacia trees, and also take gum from the floral spears of grass trees. Nectar, pollen and even insects and spiders also make up an important part of the diet."
14,Brush-tailed Rock-wallaby,Petrogale penicillata,Endangered,mammal,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=6bc36420-a5ba-47f1-831b-c7bd433d090a,,"A social species typically living in small colonies in steep and rocky terrain. They are highly agile and also ascend trees. Daylight hours are usually spent in a specific rocky shelter, which they defend. Towards evening they emerge to sun themselves and feed on grasses. Seeds, fruit and flowers will also be eaten. Now rare, having disappeared from many sites especially in the west and south of its distribution. Due to an escape of a pair in 1916, a small breeding population of the brush-tailed rock-wallabies also exists on the island of Oahu in Hawaii."
15,Eastern Quoll,Dasyurus viverrinus,Endangered,mammal,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=26570002-96f1-4d85-82d5-d8b9b1d9a03d,,"Eastern Quolls are solitary and mainly nocturnal, scavenging and hunting at night and sleeping during the day in grass-lined dens in burrows or under fallen logs. They are widespread in Tasmania, but only a small number have been sighted on the Australian mainland in the last 50 years. They feed mostly on insects, but will take small mammals or birds as prey and occasionally eat fruit."
16,Common Wombat,Vombatus ursinus,Near Threatened,mammal,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=a3c55223-26f7-44d8-b76a-0a63137e3bba,,"Common Wombats dig burrows with their sharp claws and powerful short limbs. In winter, females give birth to a single young. Their teeth grow in response to wear. They occasionally enter people's tents at campsites looking for food."
17,Lumholtz's Tree-kangaroo,Dendrolagus lumholtzi,Least Concern,mammal,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=1bd1d1d6-e23f-4a4f-a71f-1b662b1acd62,,"Lumholtz's tree-kangaroo lives in small, loose-knit groups of three to five, consisting of a male and female mates. Each kangaroo maintains a home range"" and will be hostile towards a member of the same gender that enters it. It is named after the Norwegian explorer Carl Sofus Lumholtz."""
18,Eastern Grey Kangaroo,Macropus giganteus,Least Concern,mammal,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=821a352c-f1b9-48f7-b22c-4d4c88cc6303,0000000018.png,"Eastern Grey Kangaroos feed mainly on grasses and herbs, but sometimes eat leaves from trees and shrubs. They are active mostly from dusk to dawn, often in large groups (mobs)."
19,Australian Magpie,Cracticus tibicen,Least Concern,bird,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=82e1deb8-b8c8-406d-b3a4-4c7c9adf7074,,"Magpies are well known for their carolling calls at dawn and dusk. Males defend their territory, especially when breeding."
20,Major Mitchell's Cockatoo,Lophochroa leadbeateri,Vulnerable,bird,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=e494a392-ab3b-4ca8-bf24-3c7e4842e8ee,,They occur in pairs or small flocks and occasionally in many hundreds when food is abundant. They feed mostly on seeds on the ground or in the foliage of shrubs and trees but will also gouge insect larvae (grubs) out of branches. Named after one of Australia's early explorers.
21,Tawny Frogmouth,Podargus strigoides,Least Concern,bird,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=2cd1e0f5-4bf5-443f-b5ba-19b3e22a6452,,"Tawny Frogmouths rest on tree branches during the day, using their colour pattern to look like part of the branch."
22,Little Penguin,Eudyptula minor,Least Concern,bird,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=a20f5e3c-610f-42c2-8e7d-54eaa7d4ae8a,,Little Penguins are the smallest of the world's penguins. They make nests in crevices between rocks or burrows in the sand dunes.
23,Little Raven,Corvus mellori,Least Concern,bird,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=42ed3af8-5f17-4a0e-aa66-a059d6c12154,,"Attracted to agricultural or grazing lands, or places of abundant food, such as rubbish tips and bins. Also attracted to roadkill, which puts them at risk of becoming roadkill themselves."
24,Galah,Eolophus roseicapillus,Least Concern,bird,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=c0e8e268-4f92-4f5a-9ab4-ded29c239a42,,Galahs often flock in large numbers in farmland areas where food is abundant. They eat seeds.
25,New Holland Honeyeater,Phylidonyris novaehollandiae,Least Concern,bird,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=16542f4c-8888-4372-80b3-bbbd1c51d058,,"New Holland Honeyeaters feed on nectar, insects and honeydew. They may breed at different times of year in different parts of Australia."
26,Rainbow Lorikeet,Trichoglossus haematodus,Least Concern,bird,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=85b663ac-7b81-4579-bb3c-7e4d4add1f3f,,"Rainbow Lorikeets usually occur in pairs. Both males and females feed the young, but only the females incubate the eggs. In Australia they feed primarily on nectar from the eucalyptus."
27,Carnabys Black Cockatoo,Calyptorhynchus latirostris,Endangered,bird,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=bdb5bbf3-df01-4ab2-b200-489f7520ffa0,,Breeding from early July to December. Nesting in hollows of old eucalypts. Only the female incubates and broods the chick. Migrates south and west after breeding. Call a ‰ÛÏweeyou-weeyou‰Ûù or longer ‰ÛÏweeeloo-weeeloo‰Ûù.
28,Red Wattlebird,Anthochaera carunculata,Least Concern,bird,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=d96931e7-a383-464f-b9f7-b705bb188b44,,"Male Red Wattlebirds call with a loud cackle, like a cough. Females respond with a whistle."
29,Wedge-tailed Eagle,Aquila audax,Least Concern,bird,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=81d0135d-6ed8-4a37-adc8-b8472aa4537f,,Wedge-tailed Eagles are Australia's largest eagle. They can travel long distances and often circle in thermal air currents. They feed on live prey or dead carcases (carrion).
30,Sulphur-crested Cockatoo,Cacatua galerita,Least Concern,bird,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=2ce95881-0217-411d-9442-27f8bb5c0f97,,"Sulphur-crested Cockatoos breed in hollows in old growth trees. They make loud, harsh calls that can be heard from a distance. They eat fruits and seeds."
31,Superb Fairy-wren,Malurus cyaneus,Least Concern,bird,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=8a0a3a0d-ef01-4126-8f63-65dc51a383cb,,"Superb Fairy-wrens form family groups that co-operate to raise young in a single nest. They mainly eat insects, but also some seeds and fruit, and forage in groups."
32,Australian pelican,Pelecanus conspicillatus,Least Concern,bird,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=7b271db5-3579-4dc4-9755-3a605a85b909,,Australia's only species of pelican. They occasionally form small flocks and help one another to feed by surrounding fish and herding them together.
33,Southern Cassowary,Casuarius casuarius,Endangered,bird,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=36734b20-568a-4df0-bd56-1032a8389337,,"It forages on the forest floor for fallen fruit and is capable of safely digesting some fruits toxic to other animals. They also eat fungi, and some insects and small vertebrates. The southern cassowary is a solitary bird, that pairs only in breeding season."
34,Willie Wagtail,Rhipidura leucophrys,Least Concern,bird,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=6d9ea9bf-d03d-431a-bbce-293bf1e3450a,,"Willie Wagtails are usually found singly or in pairs. They feed on insects, usually catching them in flight, and sometimes eat small lizards. They are highly territorial and call repeatedly at night when breeding to advertise their territory."
35,Kookaburra,Dacelo novaeguineae,Least Concern,bird,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=11ba4b36-9445-490b-a4bb-a5df5df8d8b9,,"Laughing Kookaburras hunt by perching on branches and swooping onto their prey below. Small animals, such as insects and worms, are eaten whole. Larger prey, such as small snakes and mammals, may be bashed against tree branches and other hard objects before being eaten. Laughing Kookaburras form breeding pairs for life."
36,Emu,Dromaius novaehollandiae,Vulnerable,bird,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=bc18ceb2-1bef-4744-8eef-61fd261924a8,0000000036.png,"Emus walk steadily with a precise gait, and run swiftly. They are seen most often in pairs, families or loose flocks up to dozens. Male Emus build flat nests on the ground and incubate the eggs without eating, drinking, defecating or leaving the nest for around 55 days."
37,Noisy Miner,Manorina melanocephala,Least Concern,bird,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=37e23d13-9cd2-465f-ab87-9a79b641752a,,Noisy Miners assist each other to raise their young and often form large groups. They actively defend their territories from intruders and aggressively exclude smaller birds. They eat mainly insects and nectar but occasionally feed on small lizards and amphibians.
38,Australian King-parrot,Alisterus scapularis,Least Concern,bird,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=ecc2a75f-35d7-4334-b1a0-1849ffc32bec,,Australian King-parrots usually form pairs or small flocks. They feed on eucalypt and acacia seeds.
39,Gang-gang Cockatoo,Callocephalon fimbriatum,Vulnerable,bird,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=55841371-7f5b-42c3-a4b7-26c4f1e5dd37,,Gang-gang Cockatoos pair for life. They nest in deep hollows in trees and pairs will usually return to the same tree every year.
40,Giant Burrowing Frog,Heleioporus australiacus,Vulnerable,frog,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=027af095-fced-4c15-8379-67c49ec64b3e,,Giant Burrowing Frogs burrow in the banks of creeks. They can be heard calling from these burrows.
41,Banjo Frog,Limnodynastes dumerilii ,Least Concern,frog,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=da8d8bf7-caa2-4b19-925a-438386fbb908,,"Banjo Frogs burrow in the soil and are sometimes found when people dig in their backyard. Their eggs form a large, white, floating raft in still water."
42,Green Tree Frog,Litoria caerulea,Least Concern,frog,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=0999af27-7170-49b2-b13f-746087a0c1cb,,"This frog is often found after dark sitting beneath outdoor lights to catch insects, but it is also capable of taking larger prey on the ground, including mice. It has also been recorded catching bats around cave entrances. "
43,Red-eyed Tree Frog,Litoria chloris,Least Concern,frog,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=e69cb933-a7b6-451f-af25-60f7baf6f100,,"Spends much of its time high in the foliage of trees, coming down only to breed in ground pools after heavy rain. Has also been found in urban areas, breeding in neglected swimming pools."
44,Cane Toad,Rhinella marina,Least Concern,frog,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=017e6589-74ca-463a-bb7c-e1a466a9c507,,"Invasive species. The Cane Toad can be distinguished from some native Australian frogs by its pupil shape and orientation, large paratoid glands and relatively big size. It sits upright and moves in short, rapid hops."
45,Southern Bell Frog,Litoria raniformis,Endangered,frog,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=7abb421d-7ae2-46a9-a9b6-511f0d47753e,,Southern Bell Frogs are a semi-aquatic species found in close proximity to slow flowing creeks and water bodies. They are cannibalistic.
46,Mary River turtle,Elusor macrurus,Endangered,reptile,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=3c0b2c95-df0a-4bf3-9b2c-9595ed120293,,The Mary River Turtle is endemic to the Mary River in south-eastern Queensland.
47,Children's Python,Antaresia childreni,Least Concern,reptile,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=4b74879c-1212-4357-8d44-636c80723361,,"This species can be quite common in its preferred habitat. Often seen at night while crossing roads, this species is also common in urban areas. Feeds on frogs, mammals, birds, and reptiles."
48,King Brown Snake,Pseudechis australis,Least Concern,reptile,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=8671cbc2-1c71-4c10-ac58-3480aa42001c,,"Powerfully-built desert snake with a broad, rounded head and a fish-net pattern."
49,Fat-tailed Diplodactylus,Diplodactylus conspicillatus,Least Concern,reptile,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=14788116-acd4-409e-ac31-6044f742ac8e,,"Distribution: Australia (New South Wales, North Territory, Queensland, South Australia, West Australia)  "
50,White's Skink,Liopholis whitii,Least Concern,reptile,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=2a9dc2aa-1b21-46d4-8cc5-de071462e49b,,White's Skinks prefer rocky habitats with well-developed canopy cover. They can be found basking or foraging on rocky outcrops or sheltering in burrows under rock slabs or logs. They feed on invertebrates.
51,Marbled Gecko,Christinus marmoratus,Least Concern,reptile,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=e3bb3975-fd7c-4c1d-a762-250e6abe48e4,,"At night, Marble Geckos are seen around external lights where they hunt insects attracted to the light. When they mate, females retain the sperm over winter until it is fertilised in late spring to early summer."
52,Bobtail,Tiliqua rugosa,Least Concern,reptile,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=fd03852f-9a5f-477f-a098-e0ce6863c0f0,,"Stumpy-tails look similar to Blue-tongue Lizards and are closely related to them. They are active during the day. They are omnivorous, but mainly eat flowers and vegetation. When threatened they will open their mouth, extend their toungue and hiss."
53,Tiger Snake,Notechis scutatus,Least Concern,reptile,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=3e19c4e6-e07e-4809-bbf7-7adc79438812,,"Tiger Snakes are active during the day, but sometimes also at night in warm weather. Females give birth to about 30 live young."
54,Green Tree Snake,Dendrelaphis punctulatus,Least Concern,reptile,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=ab49a5f9-7993-43c2-a3a0-952fc9e12267,,"A fast-moving, arboreal species. Distinct ridges along the belly scales assist with climbing. If threatened will distend body showing flecks of pale blue skin between the scales. This species is capable of producing an unpleasant odour from anal glands if handled."
55,Red-bellied Black Snake,Pseudechis porphyriacus,Least Concern,reptile,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=08cf5aa7-3320-4b06-8d69-72859d836a09,,"Red-bellied Black Snakes are active during the day. During the breeding season, in spring, males compete with one another for females. The females produce up to 16 live young when they give birth."
56,Lowland Copperhead,Austrelaps superbus,Least Concern,reptile,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=b37a0ab1-3a04-465e-9a03-9b9cd5fe6a4f,,"Lowland Copperheads feed on frogs, lizards and small mammals. Females give birth to up to 30 live young in mid to late summer."
57,Common Brown Snake,Pseudonaja textilis,Least Concern,reptile,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=e45b43e3-fc6c-4338-9daf-086554fd26f9,,Common Brown Snakes mostly eat lizards and mammals. Females lay up to 35 eggs in cracks in soil.
58,Blotched Blue-tongue,Tiliqua nigrolutea,Least Concern,reptile,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=b454afb9-52e1-4087-8102-b6d4690086a6,,"Blotched Blue-tongues are slow-moving with the impressive defense display of hissing, sticking out their tongue and lunging at threats. They are omnivorous, feeding on fruits, flowers and other plants, as well as slow-moving animals such as snails."
59,Eastern Snake-necked Turtle,Chelodina (Chelodina) longicollis,Least Concern,reptile,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=cae9c265-7a99-411c-9981-d69da41fa0cc,,"Eastern Snake-necked Turtles eat a range of food, including frogs, invertebrates and aquatic plants. Females dig nests in soil on the land to lay eggs in spring or early summer."
60,Great Carpenter Bee,Xylocopa (Koptortosoma) aruana,Least Concern,invertebrate,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=ff3ac9fc-b694-4550-b5f9-4de97fdec7b5,,"The female of this species is black with a yellow thorax, whilst the males are a pale creamy colour. These bees can be found around Brisbane and elsewhere in northern Australia and are the largest bees in Australia (15 _ 24mm long!)"
61,Humped Golden Orb-weaving Spider,Nephila plumipes,Least Concern,invertebrate,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=2981d76c-04e3-4398-8481-244e9708b9f7,,"Female Golden Orb Weavers are most often noticed in their large, sometimes semi-communal webs. The web silk is golden-yellow; the catching part is an orb, with a distinctive tangle of barrier lines that protects the spider to either side."
62,Transverse Ladybird,Coccinella transversalis,Least Concern,invertebrate,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=de10282c-b107-4df4-808a-9e30f631d0df,,"Like many species of ladybirds, the transverse ladybird plays an important role in agriculture as it preys on a wide array of plant-eating insects which damage crops, particularly early in the growing season."
63,Green Grocer,Cyclochila australasiae,Least Concern,invertebrate,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=51633f8e-697e-4507-a249-54aaf05b3bca,,"Cicada nymphs feed underground on tree roots. Adults emerge at night in late spring, leaving empty, brown body cases attached to trees or on the ground. Different common names have been given to the different colour forms of this species."
64,Common Brown Butterfly,Heteronympha merope,Least Concern,invertebrate,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=f01e26be-b0ed-48e0-adeb-7498406fd037,,"Common Brown butterflies emerge in mid-spring, but the females are inactive until mid-summer. By late summer, only females are alive. One generation of this butterfly is completed each year."
65,Common Paper Wasp,Polistes (Polistella) humilis,Least Concern,invertebrate,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=c83f4674-674f-47be-bf87-bccd78b2fd9b,,"Common Paperwasps form small colonies, building a mushroom-shaped paper nest with a layer of hexagonal cells that is visible from the outside."
66,Giant Burrowing Cockroach,Macropanesthia rhinoceros,Least Concern,invertebrate,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=2638e5e8-234d-47d7-9c4e-d57ea6293a76,,"Macropanesthia rhinoceros is the heaviest cockroach species on earth. Macropanesthia rhinoceros lives in burrows that it carves out itself. They hiss when disturbed, when courting and when fighting."
67,Sydney Funnel-web Spider,Atrax robustus,Least Concern,invertebrate,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=15eb568c-156e-4b3d-a836-0e2483db38b0,,"The Sydney Funnel-web can show aggressive behaviour, rearing and displaying its impressive fangs. It burrows in sheltered sites under logs and rocks, where it can find a cool and humid climate."
68,Southern blue-ringed octopus,Hapalochlaena maculosa,Least Concern,invertebrate,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=833c247f-9176-4022-b31c-45f98c9e427f,,"This small octopus forages mainly at night feeding largely on crustaceans, particularly crabs. As in all blue-ringed octopuses, this species has large salivary glands that produce very strong toxins."
69,Goliath stick insect,Eurycnema goliath,Least Concern,invertebrate,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=e38389e9-699c-493a-872c-6c71b0c76a7a,,"The Goliath stick insect, is the second largest stick insect (after the Titan stick insect) in Australia, and though not as long, the insect has a heavier, sturdier build."
70,Redback Spider,Latrodectus hasseltii,Least Concern,invertebrate,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=60030a7d-c55d-4c21-b1a5-fd84bee2575e,,"Redbacks rarely leave their web and, if threatened, fall to the bottom of the web and pretend to be dead. They only bite if touched and usually feed on insects."
71,White-tailed Spider,Lampona cylindrata,Least Concern,invertebrate,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=ce911fb7-7bdc-4b81-872b-1e90f1987d4b,,"White-tailed Spiders often wander, hunting at night to catch other spiders. They are known to hide inside houses during the day, in beds and clothing."
72,Redeye,Psaltoda moerens,Least Concern,invertebrate,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=fce132e3-b6c5-4cba-ad1e-0714a210a089,,"Redeye Cicadas feed on native and introduced trees. They are most active in November and December, singing a two part song - slow at the start followed by a continuous mild rattle."
73,Priam's Birdwing,Ornithoptera priamus,Least Concern,invertebrate,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=7d6968ad-2ee1-41a3-b645-afc5cce3d518,,"A widespread species of birdwing butterfly found in the central and south Moluccas, New Guinea, Bismarck Archipelago, Solomon Islands, and northeast Australia."
74,Barramundi,Lates calcarifer,Least Concern,fish,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=d558a0b0-3a65-47c7-a8f0-4b360e137bb3,,A predatory species feeding on fish and crustaceans. It has a complex lifecycle.
75,White Shark,Carcharodon carcharias,Endangered,fish,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=5305ff89-cce0-4bd5-8d5b-f6d23cfc7917,,"This extremely dangerous and voracious apex predator is responsible for many fatal attacks on humans. Adults usually feed on seals, penguins, fishes and seabirds. White Sharks are warm-blooded."
76,Murray Cod,Maccullochella peelii,Vulnerable,fish,http://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=64862898-c53f-4d03-85e0-4519c6ab31e6,,"The Murray cod is one of the world's largest freshwater fish. They live in a wide range of habitats, from clear, rocky streams to slow flowing, turbid rivers and billabongs."
